id;dateCreated;dateModified;createdBy;createdByName;modifiedBy;modifiedByName;c_aplicacionConservantes;c_instrumento;c_reempaque;c_limpieza;c_producto;c_clasificacion;c_otro
a51ba999-5e59-41f1-8b18-04d59243c3e9;2023-01-30 04:06:36.000;2023-01-30 04:06:36.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;47616568-932a-4459-9d0b-ce5999fe27ee;false;false;Naranja;true;
a5bec63f-b575-4206-94c2-752c0514fcea;2023-01-30 15:24:34.000;2023-01-30 15:24:34.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;true;31938c38-c147-47f7-8003-f3e6726d24ad;false;true;Pesca Artesanal;false;
ae34bf34-a694-4a24-ad6c-7a19abf6e290;2023-01-30 13:32:37.000;2023-01-30 13:32:37.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;26d13cd1-2423-434b-8935-77bb1f056706;false;false;Patilla;true;
b07ad155-9d68-42cc-b4ff-336554db3e2d;2023-02-07 17:31:15.000;2023-02-07 17:31:15.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;80e922a3-6956-4d24-abb1-0db07b40d82f;false;true;;true;
b0f0b0a5-7edc-4faa-82e8-d1814c65a3a4;2023-01-24 16:14:48.000;2023-01-24 16:14:48.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;c7a9c83e-a829-494f-b5ce-e470351f474b;false;false;Patilla;true;
c4d3472c-d61d-4bbf-a663-1e5c4c746e02;2023-01-27 13:15:44.000;2023-01-27 13:15:44.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;true;f23f4252-ba4d-4a16-b5d9-b4288ca2ccbc;false;true;Pesca Artesanal;true;
c8be9a2c-c075-4be9-95d5-3386a7632451;2023-01-27 14:31:47.000;2023-01-27 14:31:47.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;5f49ca15-bd1f-4abb-923c-09e38d9cc8e6;true;false;Pesca Artesanal;true;
d2abd5c1-cb1d-4b42-b8f1-342673ee0ec7;2023-01-26 00:01:39.000;2023-01-26 00:01:39.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;f21b85b0-be4c-4746-9b5a-9818dfe72b4b;false;false;Pesca Artesanal;true;
d90219da-3039-4f78-9433-dee84f08122f;2023-01-24 16:14:49.000;2023-01-24 16:14:49.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;c7a9c83e-a829-494f-b5ce-e470351f474b;true;false;Maíz;false;
e46f9a43-9912-436c-9112-02cacf08c11e;2023-01-18 02:53:29.000;2023-01-18 02:53:29.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;63e63fce-660a-4940-a6fd-b8c144479f01;false;false;;true;yuca
f416f2aa-f225-42e7-b75a-070886a62ae6;2023-02-07 14:57:35.000;2023-02-07 14:57:35.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;a0c53ec3-147d-41c6-b4a1-7527765347ab;false;false;;true;ahuyama
fdb2ef21-c90a-4e7f-bc42-86e34fc6c2f1;2023-01-26 21:49:53.000;2023-01-26 21:49:53.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;a2977418-a703-407d-89b4-9b6bbd1f8717;false;false;Pesca Artesanal;true;
