id;dateCreated;dateModified;createdBy;createdByName;modifiedBy;modifiedByName;c_instrumento;c_pesoUnitario;c_producto;c_cantidad;c_medio;c_otro
02a09900-dfbd-4fc9-89dc-6754a1911a9f;2023-02-01 15:57:39.000;2023-02-01 15:57:39.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;008c166e-fef8-4336-88d0-0d5774a5e4b5;;Ganado;;;
39a06ebc-3fdc-4ed9-9ab8-b016abff231c;2023-01-25 14:34:07.000;2023-01-25 14:34:07.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;f76f3e03-14fb-43dc-8baa-2400985f69a6;125;Pesca artesanal;;;
68db48f4-a272-4b16-ba29-083e57445af0;2023-01-25 23:25:39.000;2023-01-25 23:25:39.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;ed4f10e4-7fd1-445f-a6bd-c6441d86005f;75-88;Pesca;6-7 @;;
9abaf2ac-e679-4bd6-968a-b72cbcfad16f;2023-01-18 15:58:43.000;2023-01-18 15:58:43.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;323f8893-2fa7-4ced-928d-4fbefce45079;1000;Bocachico;;;
f2cf108b-5efa-4729-924b-b5ac5fde7501;2023-01-18 16:04:24.000;2023-01-18 16:04:24.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;4a3a975a-4c21-4042-8f3a-7b513ecb3c95;1000;Bocachico;;;
