"id","dateCreated","dateModified","createdBy","createdByName","modifiedBy","modifiedByName","c_ventaSemana","c_equivalencia","c_frecuencia","c_desperdicioAlmacenamiento","c_instrumento","c_desperdicioTransporte","c_producto","c_cantidad"
acaef135-550a-47bb-adae-25001f2f7b21,2023-01-23 20:08:04.000,2023-01-23 20:08:04.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","","","","566cb92e-d546-4f48-a99f-c047dbd5fbec","","",""
afa96e0a-b6b3-46ce-8927-69258f976f38,2023-01-18 15:58:43.000,2023-01-18 15:58:43.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","1000","2 veces por semana","","323f8893-2fa7-4ced-928d-4fbefce45079","",Bocachico,"1000 Kg"
afd21ac7-1470-4377-a573-2c76dfda25ae,2023-01-26 21:55:46.000,2023-01-26 21:55:46.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","375",diario,"3%","896a27d0-4e61-4f82-af8f-8c4d567e5923","4%",Pesca Artesanal,""
b5a9c81f-4983-4f0d-9ed1-1228a2704dfc,2023-02-07 14:28:25.000,2023-02-07 14:28:25.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","200",diario,"",d6743c96-161d-4b0e-b638-a68c86207a4d,"",Carne porcina,""
b5f76cbd-da95-48b0-9eeb-7758f830ccae,2023-01-30 17:09:58.000,2023-01-30 17:09:58.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","","8 d","5-10 unidades",d01e8688-bc27-4a65-8c14-1d315d4bca8a,"",Plátano,""
ba667116-354d-4836-ac27-1fd2fde0a5bb,2023-01-18 16:04:24.000,2023-01-18 16:04:24.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","1000","2 veces por semana","","4a3a975a-4c21-4042-8f3a-7b513ecb3c95","",Bocachico,"1000 Kg"
ba7ae39a-b777-42c1-90b9-aa0d4a3731cb,2023-01-30 17:09:21.000,2023-01-30 17:09:21.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","","8 d","5-10 unidades",af845f68-4c01-4bd9-bc96-0e77238ba65b,"",Plátano,""
d46387ce-79f3-4553-b01f-2c70b4e9a745,2023-01-25 23:25:39.000,2023-01-25 23:25:39.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","150-250",diario,"",ed4f10e4-7fd1-445f-a6bd-c6441d86005f,"",pescado,"12-20 @"
fe4de865-b44f-4a4f-b6d6-346afb2dd64c,2023-01-25 18:16:17.000,2023-01-25 18:16:17.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","80-100","","","840a6d69-de8d-4f29-8e10-682628960ae6","",Pescado,""
ff590be7-dd81-4685-a18d-b3edce4f4495,2023-01-30 17:09:57.000,2023-01-30 17:09:57.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","","2 d","",d01e8688-bc27-4a65-8c14-1d315d4bca8a,"",Yuca,"1 bulto"
